dataDate;community;province;selfConsumption;sumPouredEnergy_kWh;sumContracts;sumPower_kW
2024-05-15;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;112597;6938;41276;
2024-05-15;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;672414;33442;190677;
2024-05-15;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1024;43932;
2024-05-15;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-15;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;869;50691;
2024-05-16;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-16;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;188;16;undefined;
2024-05-16;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;760398;14;151135;
2024-05-16;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3826;38;7237;
2024-05-16;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;89436;18;33626;
2024-05-16;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;27037;60;19502;
2024-05-16;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3670;657;1181;
2024-05-16;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1077;76;330;
2024-05-16;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3034;339;1260;
2024-05-16;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3390;204;1041;
2024-05-16;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1696;151;640;
2024-05-16;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8661;1040;2993;
2024-05-16;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;782490;35203;206744;
2024-05-16;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;138739;6949;41276;
2024-05-16;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;696186;33470;190677;
2024-05-16;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1025;43932;
2024-05-16;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-16;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;870;50691;
2024-05-17;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-17;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;135;16;undefined;
2024-05-17;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;715103;14;151135;
2024-05-17;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4232;38;7237;
2024-05-17;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;85478;18;33626;
2024-05-17;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;20480;60;19502;
2024-05-17;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3513;657;1181;
2024-05-17;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;918;76;330;
2024-05-17;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2487;341;1260;
2024-05-17;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3242;204;1041;
2024-05-17;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1555;151;640;
2024-05-17;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;6968;1040;2993;
2024-05-17;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;775977;35254;206744;
2024-05-17;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;132721;6960;41276;
2024-05-17;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;543252;33499;190677;
2024-05-17;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1028;43932;
2024-05-17;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-17;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;872;50691;
2024-05-18;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;5;13;undefined;
2024-05-18;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;179;16;undefined;
2024-05-18;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;707758;14;151135;
2024-05-18;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;5977;38;7237;
2024-05-18;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;87540;18;33626;
2024-05-18;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;37833;60;19502;
2024-05-18;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3358;657;1181;
2024-05-18;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1106;76;330;
2024-05-18;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3326;341;1260;
2024-05-18;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3798;204;1041;
2024-05-18;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2002;151;640;
2024-05-18;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;10171;1040;2993;
2024-05-18;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;797462;35285;206744;
2024-05-18;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;144856;6967;41276;
2024-05-18;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;717441;33519;190677;
2024-05-18;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1032;43937;
2024-05-18;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-18;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;872;50691;
2024-05-19;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-19;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;145;16;undefined;
2024-05-19;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;540054;14;151135;
2024-05-19;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;6502;38;7237;
2024-05-19;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;10094;18;33626;
2024-05-19;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;29770;60;19502;
2024-05-19;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2985;657;1181;
2024-05-19;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;880;76;330;
2024-05-19;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3063;341;1260;
2024-05-19;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3038;204;1041;
2024-05-19;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1616;151;640;
2024-05-19;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8318;1040;2993;
2024-05-19;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;672405;35285;206744;
2024-05-19;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;118213;6967;41276;
2024-05-19;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;594588;33519;190677;
2024-05-19;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1032;43937;
2024-05-19;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-19;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;872;50691;
2024-05-20;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;2;13;undefined;
2024-05-20;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;151;16;undefined;
2024-05-20;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;642863;14;151135;
2024-05-20;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3276;38;7237;
2024-05-20;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;66889;18;33626;
2024-05-20;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;16961;60;19502;
2024-05-20;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2439;657;1181;
2024-05-20;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;795;76;330;
2024-05-20;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2338;341;1260;
2024-05-20;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2242;204;1041;
2024-05-20;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1325;151;640;
2024-05-20;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;6212;1040;2993;
2024-05-20;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;574905;35285;206744;
2024-05-20;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;110838;6967;41276;
2024-05-20;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;504657;33519;190677;
2024-05-20;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1032;43937;
2024-05-20;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-20;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;872;50691;
2024-05-21;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-21;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;169;16;undefined;
2024-05-21;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;660834;14;151135;
2024-05-21;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3719;38;7237;
2024-05-21;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;90082;18;33626;
2024-05-21;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;37131;60;19502;
2024-05-21;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2869;657;1181;
2024-05-21;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;626;76;330;
2024-05-21;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2319;343;1260;
2024-05-21;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2517;204;1041;
2024-05-21;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1092;151;640;
2024-05-21;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;6040;1040;2993;
2024-05-21;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;639226;35307;206750;
2024-05-21;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;83430;6973;41286;
2024-05-21;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;513643;33555;190677;
2024-05-21;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1032;43937;
2024-05-21;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-21;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;874;50691;
2024-05-22;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-22;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;192;16;undefined;
2024-05-22;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;751565;14;151135;
2024-05-22;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3945;38;7237;
2024-05-22;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;89263;18;33626;
2024-05-22;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;49764;60;19502;
2024-05-22;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3427;657;1181;
2024-05-22;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;982;76;330;
2024-05-22;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3215;343;1260;
2024-05-22;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3060;204;1041;
2024-05-22;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1689;151;640;
2024-05-22;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8560;1040;2993;
2024-05-22;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;760197;35328;206755;
2024-05-22;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;145647;6979;41286;
2024-05-22;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;686787;33578;190677;
2024-05-22;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1036;43937;
2024-05-22;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-22;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;875;50691;
2024-05-23;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;1;13;undefined;
2024-05-23;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;163;16;undefined;
2024-05-23;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;725009;14;151135;
2024-05-23;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3461;38;7237;
2024-05-23;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;87412;18;33626;
2024-05-23;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;39227;60;19502;
2024-05-23;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2096;657;1181;
2024-05-23;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1186;76;330;
2024-05-23;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2647;343;1260;
2024-05-23;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2124;204;1041;
2024-05-23;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2024;151;640;
2024-05-23;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;6438;1040;2993;
2024-05-23;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;520355;35358;206755;
2024-05-23;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;149928;6980;41286;
2024-05-23;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;525423;33606;190677;
2024-05-23;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1037;43937;
2024-05-23;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-23;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;876;50691;
2024-05-24;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-24;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;181;16;undefined;
2024-05-24;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;661118;14;151135;
2024-05-24;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3780;38;7237;
2024-05-24;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;84669;18;33626;
2024-05-24;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;24108;60;19502;
2024-05-24;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3355;657;1181;
2024-05-24;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;991;76;330;
2024-05-24;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3131;343;1260;
2024-05-24;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2947;204;1041;
2024-05-24;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1504;151;640;
2024-05-24;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;7796;1040;2993;
2024-05-24;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;743584;35374;206755;
2024-05-24;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;134839;6986;41286;
2024-05-24;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;628511;33628;190677;
2024-05-24;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1038;43937;
2024-05-24;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-24;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;876;50691;
2024-05-25;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-25;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;184;16;undefined;
2024-05-25;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;295519;14;151135;
2024-05-25;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;5835;38;7237;
2024-05-25;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;83294;18;33626;
2024-05-25;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;21875;60;19502;
2024-05-25;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3705;657;1181;
2024-05-25;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1068;76;330;
2024-05-25;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3555;344;1260;
2024-05-25;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3756;204;1041;
2024-05-25;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2146;151;640;
2024-05-25;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;10589;1040;2993;
2024-05-25;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;835085;35411;206755;
2024-05-25;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;134007;6992;41286;
2024-05-25;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;751114;33651;190677;
2024-05-25;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1038;43937;
2024-05-25;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-25;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;879;50691;
2024-05-26;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;3;13;undefined;
2024-05-26;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;182;16;undefined;
2024-05-26;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;239419;14;151135;
2024-05-26;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;6860;38;7237;
2024-05-26;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;4214;18;33626;
2024-05-26;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;21408;60;19502;
2024-05-26;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3245;657;1181;
2024-05-26;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1052;76;330;
2024-05-26;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3427;344;1260;
2024-05-26;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3602;204;1041;
2024-05-26;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2285;151;640;
2024-05-26;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;10257;1040;2993;
2024-05-26;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;787092;35412;206755;
2024-05-26;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;140083;6992;41286;
2024-05-26;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;734732;33651;190677;
2024-05-26;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1038;43937;
2024-05-26;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-26;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;879;50691;
2024-05-27;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;3;13;undefined;
2024-05-27;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;131;16;undefined;
2024-05-27;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;361302;14;151135;
2024-05-27;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3724;38;7237;
2024-05-27;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;68010;18;33626;
2024-05-27;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;10078;60;19502;
2024-05-27;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;2957;657;1181;
2024-05-27;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;645;76;330;
2024-05-27;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2160;344;1260;
2024-05-27;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2388;204;1041;
2024-05-27;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1294;151;640;
2024-05-27;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;5601;1040;2993;
2024-05-27;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;641574;35412;206755;
2024-05-27;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;95267;6992;41286;
2024-05-27;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;414129;33651;190677;
2024-05-27;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1038;43937;
2024-05-27;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-27;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;879;50691;
2024-05-28;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;3;13;undefined;
2024-05-28;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;184;16;undefined;
2024-05-28;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;471300;14;151135;
2024-05-28;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3694;38;7237;
2024-05-28;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;89050;18;33626;
2024-05-28;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;15261;60;19502;
2024-05-28;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3047;657;1181;
2024-05-28;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1114;76;330;
2024-05-28;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2877;344;1260;
2024-05-28;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2668;204;1041;
2024-05-28;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1811;151;640;
2024-05-28;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;7027;1045;2993;
2024-05-28;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;692823;35452;206755;
2024-05-28;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;144805;6998;41286;
2024-05-28;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;576667;33682;190677;
2024-05-28;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1038;43937;
2024-05-28;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-28;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;881;50691;
2024-05-29;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-29;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;182;16;undefined;
2024-05-29;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;485180;14;151135;
2024-05-29;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;3887;38;7237;
2024-05-29;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;82482;18;33626;
2024-05-29;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;18821;60;19502;
2024-05-29;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3284;657;1181;
2024-05-29;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1099;76;330;
2024-05-29;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2931;344;1260;
2024-05-29;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2949;204;1041;
2024-05-29;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;1950;151;640;
2024-05-29;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;8104;1045;2993;
2024-05-29;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;752755;35469;206755;
2024-05-29;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;141213;7004;41286;
2024-05-29;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;654354;33702;190677;
2024-05-29;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1040;43937;
2024-05-29;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;226;31793;
2024-05-29;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;882;50691;
2024-05-30;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-30;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;176;16;undefined;
2024-05-30;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;440201;14;151135;
2024-05-30;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;4012;38;7237;
2024-05-30;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;83248;18;33626;
2024-05-30;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;13193;61;19502;
2024-05-30;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3161;657;1181;
2024-05-30;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1101;76;330;
2024-05-30;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;2891;344;1260;
2024-05-30;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;2730;248;1041;
