dataDate;community;province;selfConsumption;sumPouredEnergy_kWh;sumContracts;sumPower_kW
2024-05-04;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;43552;58;19502;
2024-05-04;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo;3666;657;1181;
2024-05-04;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo;1247;76;330;
2024-05-04;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo;3454;336;1260;
2024-05-04;Comunitat Valenciana;Alicante;Con excedentes y compensación Colectivo a través de red - Consumo;3388;197;1041;
2024-05-04;Comunitat Valenciana;Castellón;Con excedentes y compensación Colectivo a través de red - Consumo;2072;129;640;
2024-05-04;Comunitat Valenciana;Valencia;Con excedentes y compensación Colectivo a través de red - Consumo;9462;1032;2993;
2024-05-04;Comunitat Valenciana;Alicante;Con excedentes y compensación Individual;830589;34879;206737;
2024-05-04;Comunitat Valenciana;Castellón;Con excedentes y compensación Individual;157941;6901;41266;
2024-05-04;Comunitat Valenciana;Valencia;Con excedentes y compensación Individual;742393;33221;190600;
2024-05-04;Comunitat Valenciana;Alicante;Sin Excedentes Individual;0;1018;43932;
2024-05-04;Comunitat Valenciana;Castellón;Sin Excedentes Individual;0;223;31793;
2024-05-04;Comunitat Valenciana;Valencia;Sin Excedentes Individual;0;861;50691;
2024-05-05;Comunitat Valenciana;Alicante;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;4;13;undefined;
2024-05-05;Comunitat Valenciana;Valencia;Con excedentes sin compensación Colectivo sin cto de SSAA a través de red - Consumo;173;16;undefined;
2024-05-05;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual con contrato de SSAA en Red Interior;365749;14;151135;
2024-05-05;Comunitat Valenciana;Alicante;Con excedentes sin compensación Individual en Red Interior;6760;36;7237;
2024-05-05;Comunitat Valenciana;Castellón;Con excedentes sin compensación Individual en Red Interior;62125;18;33626;
2024-05-05;Comunitat Valenciana;Valencia;Con excedentes sin compensación Individual en Red Interior;40501;58;19502;
