year,use,dwellings,area_m2
2001,1_residential,9,1076.0
2002,1_residential,12,1657.0
2002,1_residential,11,1470.0
2005,1_residential,10,1664.0
2000,1_residential,27,2992.0
1982,1_residential,188,18745.0
1975,3_industrial,0,41.0
1994,1_residential,22,4564.0
1987,1_residential,1,7185.0
1995,1_residential,89,11646.0
1975,1_residential,506,64923.0
1969,1_residential,16,1359.0
1945,1_residential,1,79.0
1945,1_residential,1,83.0
1970,1_residential,5,593.0
2008,1_residential,8,1171.0
1978,1_residential,48,5925.0
1990,1_residential,4,1023.0
2000,1_residential,12,1541.0
1986,1_residential,12,1711.0
1978,1_residential,16,1811.0
1997,1_residential,1,14163.0
1995,1_residential,29,4876.0
1996,1_residential,18,3645.0
1945,1_residential,1,87.0
1971,1_residential,10,1499.0
1971,1_residential,9,1006.0
1968,1_residential,34,4382.0
1975,1_residential,20,3298.0
1981,1_residential,23,3154.0
1972,1_residential,10,1279.0
1977,1_residential,8,1002.0
1987,1_residential,1,4530.0
2002,1_residential,16,2442.0
2010,1_residential,0,433.0
1987,1_residential,1,4526.0
1969,1_residential,18,1490.0
1997,,1,16369.0
1978,1_residential,23,3548.0
1969,1_residential,14,1686.0
,,0,0.0
1981,1_residential,12,1447.0
1966,1_residential,8,738.0
1998,1_residential,1,183.0
1940,1_residential,1,274.0
1984,1_residential,24,3529.0
1938,1_residential,1,96.0
2007,1_residential,8,724.0
1979,1_residential,8,1018.0
2004,1_residential,5,567.0
2005,1_residential,9,1110.0
2005,1_residential,7,1206.0
2005,1_residential,4,249.0
2007,1_residential,9,468.0
1964,1_residential,2,281.0
1969,1_residential,10,887.0
2001,1_residential,4,558.0
1978,1_residential,4,664.0
1976,1_residential,4,678.0
1960,1_residential,13,1485.0
2005,1_residential,5,550.0
2010,1_residential,10,1000.0
1964,1_residential,4,721.0
1960,1_residential,2,196.0
1960,1_residential,5,715.0
1945,1_residential,1,68.0
1964,1_residential,2,184.0
1959,1_residential,1,150.0
1992,1_residential,1,203.0
1920,1_residential,1,68.0
1920,1_residential,1,62.0
1920,1_residential,1,58.0
1969,1_residential,45,4342.0
1963,1_residential,6,612.0
1977,1_residential,8,1114.0
1979,1_residential,7,617.0
2006,1_residential,4,495.0
1948,1_residential,2,229.0
1992,1_residential,16,2473.0
1993,1_residential,8,1003.0
1998,1_residential,7,878.0
1969,1_residential,15,1337.0
1994,1_residential,14,1971.0
1945,1_residential,1,170.0
1990,1_residential,1,210.0
1954,1_residential,3,399.0
1945,3_industrial,0,81.0
1969,1_residential,2,312.0
1945,1_residential,1,87.0
1974,1_residential,1,302.0
2010,1_residential,1,375.0
1990,1_residential,1,249.0
1969,1_residential,4,693.0
1969,1_residential,4,464.0
1994,1_residential,3,342.0
1960,1_residential,3,274.0
1966,1_residential,11,1228.0
1966,1_residential,15,1629.0
2010,1_residential,8,803.0
1981,1_residential,16,1657.0
1990,1_residential,10,1573.0
1988,1_residential,26,3615.0
1986,1_residential,18,2267.0
1976,1_residential,3,304.0
1973,1_residential,3,452.0
1945,1_residential,1,80.0
1981,1_residential,4,632.0
1965,1_residential,13,1435.0
1980,1_residential,9,1151.0
1992,1_residential,5,734.0
1973,1_residential,11,1172.0
2002,1_residential,9,1313.0
2002,1_residential,5,545.0
1968,1_residential,3,242.0
1964,1_residential,5,465.0
2007,1_residential,7,609.0
1990,1_residential,1,226.0
1920,1_residential,1,71.0
1935,4_2_retail,0,86.0
1925,1_residential,1,67.0
1976,1_residential,12,1483.0
1925,1_residential,1,59.0
1975,1_residential,19,1686.0
1975,1_residential,2,317.0
1967,1_residential,5,680.0
1920,1_residential,1,104.0
1954,1_residential,2,304.0
1945,1_residential,1,135.0
2001,1_residential,9,1065.0
2005,1_residential,1,338.0
2001,1_residential,1,270.0
1930,1_residential,1,71.0
2002,1_residential,1,306.0
1950,1_residential,1,163.0
1935,1_residential,1,51.0
1970,1_residential,1,186.0
1930,1_residential,1,85.0
1950,1_residential,18,1919.0
1973,1_residential,10,802.0
1971,1_residential,10,1227.0
1971,1_residential,20,1876.0
1998,1_residential,14,1903.0
1975,1_residential,125,12688.0
1971,1_residential,35,4480.0
1971,1_residential,15,1612.0
1963,1_residential,14,1237.0
1965,1_residential,35,3966.0
1960,1_residential,8,640.0
1960,1_residential,8,725.0
1963,1_residential,5,717.0
1945,1_residential,1,273.0
1945,3_industrial,1,293.0
1966,1_residential,10,1056.0
1966,1_residential,10,1056.0
1957,1_residential,3,327.0
1978,1_residential,5,696.0
1955,1_residential,3,356.0
1945,1_residential,1,79.0
1966,1_residential,20,2294.0
1955,1_residential,1,259.0
1974,1_residential,10,1326.0
1970,1_residential,11,826.0
1979,1_residential,3,552.0
1991,1_residential,1,294.0
2006,1_residential,1,303.0
1982,1_residential,1,224.0
2003,1_residential,1,320.0
1945,1_residential,1,82.0
1945,1_residential,1,78.0
1945,1_residential,1,84.0
1945,1_residential,0,77.0
1914,1_residential,1,92.0
1945,1_residential,1,93.0
1945,1_residential,1,85.0
1974,1_residential,7,744.0
1989,1_residential,4,594.0
1963,1_residential,2,150.0
1930,1_residential,1,70.0
1945,1_residential,1,76.0
1996,1_residential,1,213.0
1930,1_residential,1,155.0
1966,1_residential,9,714.0
2004,1_residential,4,448.0
