LOCALIDAD,CODIGO-POSTAL,USO,MES,CONSUMO (M3)
ALICANTE,03005,DOMESTICO,6,17.648
ALICANTE,03005,DOMESTICO,7,295.850
ALICANTE,03005,DOMESTICO,8,29.903
ALICANTE,03005,DOMESTICO,9,17.965
ALICANTE,03005,DOMESTICO,10,295.130
ALICANTE,03005,DOMESTICO,11,25.466
ALICANTE,03005,DOMESTICO,12,18.134
ALICANTE,03005,NO DOMESTICO,1,29.438
ALICANTE,03005,NO DOMESTICO,2,17.317
ALICANTE,03005,NO DOMESTICO,3,15.625
ALICANTE,03005,NO DOMESTICO,4,28.449
ALICANTE,03005,NO DOMESTICO,5,20.053
ALICANTE,03005,NO DOMESTICO,6,16.407
ALICANTE,03005,NO DOMESTICO,7,31.936
ALICANTE,03005,NO DOMESTICO,8,20.254
ALICANTE,03005,NO DOMESTICO,9,19.137
ALICANTE,03005,NO DOMESTICO,10,32.854
ALICANTE,03005,NO DOMESTICO,11,18.165
ALICANTE,03005,NO DOMESTICO,12,15.849
ALICANTE,03006,DOMESTICO,1,163.382
ALICANTE,03006,DOMESTICO,2,556
ALICANTE,03006,DOMESTICO,3,624
ALICANTE,03006,DOMESTICO,4,163.344
ALICANTE,03006,DOMESTICO,5,700
ALICANTE,03006,DOMESTICO,6,995
ALICANTE,03006,DOMESTICO,7,173.296
ALICANTE,03006,DOMESTICO,8,1.056
ALICANTE,03006,DOMESTICO,9,1.246
ALICANTE,03006,DOMESTICO,10,167.164
ALICANTE,03006,DOMESTICO,11,454
ALICANTE,03006,DOMESTICO,12,937
ALICANTE,03006,NO DOMESTICO,1,51.999
ALICANTE,03006,NO DOMESTICO,2,9.927
ALICANTE,03006,NO DOMESTICO,3,18.202
ALICANTE,03006,NO DOMESTICO,4,52.859
ALICANTE,03006,NO DOMESTICO,5,21.010
ALICANTE,03006,NO DOMESTICO,6,10.106
ALICANTE,03006,NO DOMESTICO,7,54.464
ALICANTE,03006,NO DOMESTICO,8,18.500
ALICANTE,03006,NO DOMESTICO,9,9.833
ALICANTE,03006,NO DOMESTICO,10,54.819
ALICANTE,03006,NO DOMESTICO,11,19.610
ALICANTE,03006,NO DOMESTICO,12,8.924
ALICANTE,03007,DOMESTICO,1,179.976
ALICANTE,03007,DOMESTICO,2,884
ALICANTE,03007,DOMESTICO,3,717
ALICANTE,03007,DOMESTICO,4,188.610
ALICANTE,03007,DOMESTICO,5,658
ALICANTE,03007,DOMESTICO,6,1.193
ALICANTE,03007,DOMESTICO,7,186.914
ALICANTE,03007,DOMESTICO,8,1.558
ALICANTE,03007,DOMESTICO,9,1.142
ALICANTE,03007,DOMESTICO,10,178.710
ALICANTE,03007,DOMESTICO,11,490
ALICANTE,03007,DOMESTICO,12,558
ALICANTE,03007,NO DOMESTICO,1,44.330
ALICANTE,03007,NO DOMESTICO,2,8.309
ALICANTE,03007,NO DOMESTICO,3,16.164
ALICANTE,03007,NO DOMESTICO,4,44.294
ALICANTE,03007,NO DOMESTICO,5,18.997
ALICANTE,03007,NO DOMESTICO,6,8.539
ALICANTE,03007,NO DOMESTICO,7,48.457
ALICANTE,03007,NO DOMESTICO,8,18.334
ALICANTE,03007,NO DOMESTICO,9,8.869
ALICANTE,03007,NO DOMESTICO,10,45.885
ALICANTE,03007,NO DOMESTICO,11,17.455
ALICANTE,03007,NO DOMESTICO,12,8.356
ALICANTE,03008,DOMESTICO,1,199.595
ALICANTE,03008,DOMESTICO,2,564
ALICANTE,03008,DOMESTICO,3,919
ALICANTE,03008,DOMESTICO,4,207.182
ALICANTE,03008,DOMESTICO,5,620
ALICANTE,03008,DOMESTICO,6,923
ALICANTE,03008,DOMESTICO,7,212.775
ALICANTE,03008,DOMESTICO,8,721
ALICANTE,03008,DOMESTICO,9,931
ALICANTE,03008,DOMESTICO,10,222.326
ALICANTE,03008,DOMESTICO,11,730
ALICANTE,03008,DOMESTICO,12,414
ALICANTE,03008,NO DOMESTICO,1,36.410
ALICANTE,03008,NO DOMESTICO,2,29.831
ALICANTE,03008,NO DOMESTICO,3,26.892
ALICANTE,03008,NO DOMESTICO,4,45.529
ALICANTE,03008,NO DOMESTICO,5,31.748
ALICANTE,03008,NO DOMESTICO,6,39.028
ALICANTE,03008,NO DOMESTICO,7,55.867
ALICANTE,03008,NO DOMESTICO,8,29.294
ALICANTE,03008,NO DOMESTICO,9,29.021
ALICANTE,03008,NO DOMESTICO,10,44.697
ALICANTE,03008,NO DOMESTICO,11,35.305
ALICANTE,03008,NO DOMESTICO,12,26.220
ALICANTE,03009,DOMESTICO,1,312
ALICANTE,03009,DOMESTICO,2,29.574
ALICANTE,03009,DOMESTICO,3,145.835
ALICANTE,03009,DOMESTICO,4,530
ALICANTE,03009,DOMESTICO,5,31.350
ALICANTE,03009,DOMESTICO,6,146.715
ALICANTE,03009,DOMESTICO,7,1.258
ALICANTE,03009,DOMESTICO,8,31.805
ALICANTE,03009,DOMESTICO,9,146.288
ALICANTE,03009,DOMESTICO,10,902
ALICANTE,03009,DOMESTICO,11,33.459
ALICANTE,03009,DOMESTICO,12,156.514
ALICANTE,03009,NO DOMESTICO,1,43.332
ALICANTE,03009,NO DOMESTICO,2,15.959
ALICANTE,03009,NO DOMESTICO,3,24.552
ALICANTE,03009,NO DOMESTICO,4,16.155
ALICANTE,03009,NO DOMESTICO,5,22.266
ALICANTE,03009,NO DOMESTICO,6,28.042
ALICANTE,03009,NO DOMESTICO,7,23.155
ALICANTE,03009,NO DOMESTICO,8,19.708
ALICANTE,03009,NO DOMESTICO,9,30.821
ALICANTE,03009,NO DOMESTICO,10,20.916
ALICANTE,03009,NO DOMESTICO,11,17.763
ALICANTE,03009,NO DOMESTICO,12,17.020
ALICANTE,03010,DOMESTICO,1,1.376
ALICANTE,03010,DOMESTICO,2,150.088
ALICANTE,03010,DOMESTICO,3,53.390
ALICANTE,03010,DOMESTICO,4,536
ALICANTE,03010,DOMESTICO,5,155.979
ALICANTE,03010,DOMESTICO,6,61.673
ALICANTE,03010,DOMESTICO,7,1.249
ALICANTE,03010,DOMESTICO,8,155.139
ALICANTE,03010,DOMESTICO,9,61.305
ALICANTE,03010,DOMESTICO,10,463
ALICANTE,03010,DOMESTICO,11,157.560
ALICANTE,03010,DOMESTICO,12,59.893
ALICANTE,03010,NO DOMESTICO,1,12.252
ALICANTE,03010,NO DOMESTICO,2,17.941
ALICANTE,03010,NO DOMESTICO,3,13.264
ALICANTE,03010,NO DOMESTICO,4,13.288
ALICANTE,03010,NO DOMESTICO,5,20.485
ALICANTE,03010,NO DOMESTICO,6,12.866
ALICANTE,03010,NO DOMESTICO,7,13.523
ALICANTE,03010,NO DOMESTICO,8,19.405
ALICANTE,03010,NO DOMESTICO,9,16.398
ALICANTE,03010,NO DOMESTICO,10,15.244
ALICANTE,03010,NO DOMESTICO,11,21.445
ALICANTE,03010,NO DOMESTICO,12,15.285
ALICANTE,03011,DOMESTICO,1,1.951
ALICANTE,03011,DOMESTICO,2,14.068
ALICANTE,03011,DOMESTICO,3,126.583
ALICANTE,03011,DOMESTICO,4,1.347
ALICANTE,03011,DOMESTICO,5,11.985
ALICANTE,03011,DOMESTICO,6,107.725
ALICANTE,03011,DOMESTICO,7,1.007
ALICANTE,03011,DOMESTICO,8,12.648
ALICANTE,03011,DOMESTICO,9,113.439
ALICANTE,03011,DOMESTICO,10,600
ALICANTE,03011,DOMESTICO,11,12.081
ALICANTE,03011,DOMESTICO,12,116.471
ALICANTE,03011,NO DOMESTICO,1,3.674
ALICANTE,03011,NO DOMESTICO,2,4.110
ALICANTE,03011,NO DOMESTICO,3,4.971
ALICANTE,03011,NO DOMESTICO,4,2.574
ALICANTE,03011,NO DOMESTICO,5,6.021
ALICANTE,03011,NO DOMESTICO,6,2.884
ALICANTE,03011,NO DOMESTICO,7,2.913
ALICANTE,03011,NO DOMESTICO,8,3.491
ALICANTE,03011,NO DOMESTICO,9,5.248
ALICANTE,03011,NO DOMESTICO,10,5.431
ALICANTE,03011,NO DOMESTICO,11,1.427
ALICANTE,03011,NO DOMESTICO,12,4.284
ALICANTE,03012,DOMESTICO,1,1.696
ALICANTE,03012,DOMESTICO,2,239.053
ALICANTE,03012,DOMESTICO,3,2.190
ALICANTE,03012,DOMESTICO,4,1.577
ALICANTE,03012,DOMESTICO,5,248.485
ALICANTE,03012,DOMESTICO,6,3.281
ALICANTE,03012,DOMESTICO,7,2.402
